session_id,yaw,pitch,gaze_left_x,gaze_left_y,gaze_left_z,gaze_right_x,gaze_right_y,gaze_right_z,head_tx,head_ty,head_tz,head_roll,head_pitch,head_yaw,screen_x,screen_y
664a5c25,-0.0247626,-0.193294,0.0430466,-0.189383,-0.980945,-0.0919976,-0.193818,-0.976693,56.4214,91.2991,561.349,-0.319242,0.0122515,0.0395186,85,55
664a5c25,-0.169223,-0.151522,-0.0954082,-0.156278,-0.98301,-0.236595,-0.141098,-0.962225,32.058,90.6771,567.883,-0.280649,0.216681,0.0574529,1624,55
664a5c25,-0.0225531,-0.152448,0.0500135,-0.151727,-0.987024,-0.0943432,-0.151129,-0.983834,51.5274,97.8794,566.607,-0.292002,0.0155462,0.0339898,85,1051
664a5c25,-0.1725505,-0.111882,-0.0987888,-0.1158495,-0.9885365,-0.241551,-0.103667,-0.964995,30.642,96.90915,571.0855,-0.23964,0.212594,0.0753502,1624,1051
664a5c25,-0.114988,-0.16089,-0.0411475,-0.161081,-0.986174,-0.185058,-0.156381,-0.969879,41.169,95.9496,567.656,-0.290386,0.155916,0.0339184,855,553
664a5c25,-0.120335,-0.228704,-0.0471868,-0.227253,-0.972606,-0.186966,-0.221843,-0.956857,39.8595,90.6669,567.733,-0.368061,0.162011,0.031989,855,55
664a5c25,-0.115978,-0.145893,-0.0398151,-0.147057,-0.988339,-0.188496,-0.14116,-0.97182,41.1678,97.4385,570.366,-0.288328,0.155574,0.0326531,855,1051
664a5c25,0.00575165,-0.173362,0.0782802,-0.169928,-0.982263,-0.0671798,-0.173935,-0.982168,56.5505,96.7565,566.085,-0.312212,-0.0317517,0.0484555,213,553
664a5c25,-0.156668,-0.155605,-0.0810115,-0.157031,-0.984747,-0.226223,-0.148185,-0.962445,35.4574,95.1374,568.251,-0.28983,0.201581,0.0540774,1496,553
7e35c5cd,0.158555,-0.12614,0.232439,-0.130393,-0.963049,0.07523,-0.117019,-0.989987,26.3938,91.2088,549.215,-0.301664,-0.104867,-0.0388686,85,55
7e35c5cd,-0.147238,-0.0911146,-0.0846062,-0.0816471,-0.992931,-0.204769,-0.0934421,-0.975935,-6.38517,91.4624,547.968,-0.265545,0.26907,0.0294294,1624,55
7e35c5cd,0.119987,0.000798784,0.211106,-0.0127814,-0.9774,0.02167075,0.0126556999999999,-0.999101,27.3151,98.00295,548.489,-0.2372024999999999,-0.1003989999999999,-0.0238910499999999,85,1051
7e35c5cd,-0.107344,0.00162651,-0.0436018,-0.0103269,-0.998529,-0.166766,0.0154543,-0.985694,1.53455,100.201,554.151,-0.214946,0.182006,0.020585,1624,1051
7e35c5cd,-0.010097,-0.0452336,0.0667355,-0.0610682,-0.995784,-0.0895512,-0.028825,-0.995508,14.4549,96.975,548.908,-0.23866,0.0791903,-0.0087446,855,553
7e35c5cd,0.0040956,-0.124997,0.063207,-0.123311,-0.99026,-0.054196,-0.125286,-0.990682,14.0474,91.5206,547.071,-0.301512,0.0890422,-0.00941065,855,55
